Lp.,Województwo,Ogółem,Mężczyźni,Kobiety
1,mazowieckie,5349114,2559241,2789873
2,śląskie,4570849,2204972,2365877
3,wielkopolskie,3475323,1690930,1784393
4,małopolskie,3372618,1636707,1735911
5,dolnośląskie,2904207,1396318,1507889
6,łódzkie,2493603,1188118,1305485
7,pomorskie,2307710,1124377,1183333
8,lubelskie,2139726,1037052,1102674
9,podkarpackie,2127657,1041779,1085878
10,kujawsko-pomorskie,2086210,1010973,1075237
11,zachodniopomorskie,1710482,832293,878189
12,warmińsko-mazurskie,1439675,704893,734782
13,świętokrzyskie,1257179,613217,643962
14,podlaskie,1188800,579499,609301
15,lubuskie,1018075,495674,522401
16,opolskie,996011,481948,514063
